accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
19.0,0.0,0.0,1693663200,3.0,8.0,0.0146129,0.0,0.0,0.0,76.0,0.0,7.2,0.0,23.0
30.0,1.0,0.0,1694872800,6.0,8.0,0.631472,0.0949,0.0,1.0,89.0,2.0,8.2,0.0,36.0
21.0,0.0,0.0,1695477600,2.0,7.0,0.302476,0.0,0.0,0.0,51.0,0.0,7.2,0.0,22.0
37.0,0.0,0.0,1696082400,6.0,9.0,0.233422,0.1659,0.0,0.0,90.0,1.0,8.1,2.0,50.0
2.0,0.0,0.0,1696779000,6.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,6.3,0.0,3.0
31.0,1.0,0.0,1697896800,2.0,8.0,0.160367,0.1182,1.0,0.0,75.0,1.0,8.3,2.0,37.0
2.0,0.0,0.0,1698593400,1.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,6.8,0.0,2.0
35.0,1.0,0.0,1699110000,2.0,7.0,0.359525,0.1198,4.0,1.0,90.0,1.0,10.0,1.0,37.0
10.0,0.0,0.0,1699806600,6.0,6.0,0.0697981,0.0892,0.0,0.0,59.0,1.0,6.9,0.0,14.0
42.0,1.0,0.0,1700915400,7.0,18.0,0.7365,0.0692,0.0,0.0,90.0,0.0,8.8,0.0,47.0
26.0,0.0,0.0,1701621000,4.0,2.0,0.0330461,0.211,0.0,0.0,52.0,1.0,7.2,1.0,31.0
21.0,0.0,0.0,1705167000,9.0,3.0,0.348433,0.1859,0.0,0.0,82.0,0.0,6.7,0.0,28.0
38.0,0.0,0.0,1706729400,7.0,10.0,0.113511,0.0,0.0,0.0,90.0,0.0,7.6,0.0,44.0
9.0,0.0,0.0,1707163200,1.0,1.0,0.0419605,0.0,0.0,0.0,19.0,0.0,6.7,0.0,10.0
46.0,0.0,0.0,1707568200,5.0,7.0,0.385025,0.0527,0.0,0.0,87.0,0.0,7.5,0.0,55.0
57.0,0.0,0.0,1708191000,13.0,7.0,0.443478,0.097,0.0,0.0,90.0,1.0,7.4,1.0,66.0
28.0,0.0,0.0,1708457400,1.0,1.0,0.0371444,0.0,0.0,0.0,29.0,0.0,6.9,0.0,30.0
9.0,0.0,0.0,1708795800,4.0,2.0,0.00792098,0.0184,0.0,0.0,27.0,0.0,6.3,0.0,10.0
31.0,0.0,0.0,1709479800,4.0,3.0,0.192139,0.1428,0.0,0.0,59.0,1.0,7.1,1.0,37.0
9.0,0.0,0.0,1710085500,2.0,1.0,0.446473,0.0677,0.0,0.0,21.0,1.0,7.2,1.0,10.0
9.0,0.0,0.0,1711899000,2.0,4.0,0.0124547,0.078,0.0,0.0,29.0,0.0,7.0,2.0,12.0
38.0,0.0,0.0,1712171700,5.0,7.0,0.184317,0.1367,1.0,0.0,80.0,2.0,8.0,0.0,42.0
53.0,0.0,0.0,1713016800,7.0,8.0,0.349685,0.4795,1.0,1.0,90.0,1.0,9.6,2.0,55.0
5.0,0.0,1.0,1714071600,1.0,2.0,0.0,0.1077,0.0,0.0,12.0,1.0,6.3,0.0,7.0
15.0,0.0,0.0,1714318200,5.0,2.0,0.00658409,0.0384,0.0,0.0,45.0,0.0,6.7,1.0,16.0
9.0,1.0,0.0,1714840200,0.0,3.0,0.558089,0.0396,0.0,0.0,10.0,1.0,7.7,0.0,9.0
8.0,0.0,0.0,1715427000,4.0,0.0,0.0144103,0.0685,0.0,0.0,15.0,1.0,6.4,0.0,10.0
9.0,0.0,0.0,1715713200,4.0,4.0,0.00639861,0.0543,0.0,0.0,21.0,1.0,7.2,0.0,11.0
27.0,0.0,0.0,1716130800,10.0,13.0,0.158124,0.092,1.0,0.0,90.0,2.0,7.8,0.0,32.0
